delta_band,theta_band,alpha_band,beta_band,gamma_band,peak_frequency,mean_frequency,theta_alpha_ratio,entropy,signal_id
0.018339719638379152,0.03504293010182654,0.005799795837533582,0.003952378130373412,0.0013571410270218549,6.0,-0.000542691663537814,6.042097184705191,4.8516240052271815,1
0.013624256532005288,0.025075337314972294,0.0037917277889331796,0.002690883074986389,0.000797937241244888,5.0,-0.0006325312898086402,6.613169170044076,4.676966080869224,2
0.21220148723589638,0.486596940834074,0.11652310607166418,0.021732972946377088,0.005366002020471373,7.0,-0.00013170903750720135,4.175969532899394,4.304515789810143,3
0.0903387197868046,0.13832042830862357,0.033785477023983095,0.011112425329957758,0.0032344754128444697,1.0,-0.0003991550728429673,4.094079483040446,4.242329345697389,4
0.21483397659835213,0.04649168739911619,0.03129373459420991,0.012947964489152801,0.0028687135258963076,1.0,-1.4898791684835041e-06,1.4856548124402598,3.7026145991983768,5
0.22884512285809874,0.04333106554844204,0.058094354468082025,0.01485325002235994,0.0029203446438399836,1.0,-0.0004763726208602496,0.7458739484272748,3.8250775868626388,6
0.37405384848193246,0.3266241436079126,0.059674329298427545,0.0471763857955656,0.012620965224868311,1.0,-0.001786047176104409,5.473444736588256,4.431246371953117,7
1.0776171878007577,0.8651235214408689,0.292335544342041,0.04514265815277336,0.012910191357243783,3.0,-0.0005470382143873982,2.9593511229980622,4.261856145145136,8
0.9260840379785096,1.2418805079448072,0.24971354796585132,0.03045976478044653,0.012273207068573775,5.0,-0.0004031359431142479,4.973220388165067,4.261718166571415,9
0.416007018984144,0.8977494027779769,0.12696554258960877,0.05048064282322835,0.004958496583659866,6.0,-4.09231663323463e-05,7.070811375018306,4.211727021257837,10
0.6979600041368006,0.06900678306806649,0.06674859767704645,0.04759198320922996,0.004678527042477176,1.0,-0.000275632950535456,1.0338312034950299,3.555983887091483,11
0.8940515000686031,0.4934502067879395,0.12533689862517258,0.07697461880944427,0.013028315116757564,3.0,-0.0013194982484929564,3.9369907202158525,4.232418065699071,12
0.8356962763551556,0.8671778477241678,0.1633720188419363,0.061225599160679794,0.015812828358263416,1.0,-5.894812733415536e-06,5.307994930044717,4.291204189055369,13
1.1853535437131368,1.9195860434052059,0.35655195726058475,0.0606409554564382,0.015974395245062004,5.0,-0.0003130370605265217,5.3837484392275625,4.231783830159925,14
0.7553768197065673,1.5119904056288422,0.16892777732455466,0.0659464437082487,0.007620993809118494,6.0,-0.00011067723279907803,8.950513820612883,4.14595518984769,15
1.0562562445216384,0.19755562798909793,0.05185879128633738,0.05930780486123306,0.00584107014793706,1.0,-8.437411709391608e-06,3.8094915652448993,3.4781094513319184,16
1.6561206763560636,1.3627398537375264,0.16256296781386334,0.06335353387426997,0.007262941587146143,1.0,-4.096446901508494e-05,8.382843104204893,4.030101814136369,17
1.325375336551478,0.6194019714008596,0.2799940508040263,0.08922073367172277,0.01984386421124093,1.0,-0.00043639770781362514,2.2121969006919797,4.289288735858962,18
1.7993502431250783,0.8809687657025224,0.2398932580246353,0.06539541137539533,0.010392431644845485,3.0,-0.00025960840511369767,3.67233649230798,3.9937777344070313,19
