mean,std,rms,skewness,kurtosis,fft_mean,fft_std,entropy,num_peaks,class
-0.002072482602535033,0.003097597028384699,0.003726968136175584,-0.16666259297227434,-0.9983795541326064,0.01734515748384096,0.08151252208032095,-5483.943022069698,27,Normal
-0.0003264486654665714,0.003006378796141421,0.003024050627399225,0.5031060975455928,-0.2807609641335862,0.017003212208299333,0.06544716856470081,-5183.459859234471,28,Normal
-0.001753573687892369,0.002611461038938061,0.0031455920645817857,-0.09525260050663013,-1.0008781696103282,0.014099617241390106,0.068909908663604,-6772.611241577346,23,Normal
-0.0019358858272297164,0.00297814438315875,0.0035520413712411755,-0.4690379930040415,-1.1146462030901017,0.01761560806187542,0.0774479780505265,-6438.910646344422,20,Normal
-0.0005986656528936119,0.0022612570072412987,0.0023391630590346647,-0.6167793787007401,-0.3180902476131946,0.01633409810381098,0.04968942691872471,-6932.856597714381,24,Normal
0.000549040228626134,0.0021438015173772407,0.002212991215201451,-0.00749523771309389,-0.3691225180397866,0.014567336411369433,0.04729120181553212,-7395.991646685868,25,Normal
0.0009870288164683853,0.003551381397113804,0.003685991822061597,0.4939822527731168,-0.32570350574129936,0.018523441324670483,0.08031282573564436,-4229.761116670344,25,Normal
4.728324170002463e-06,0.004593037882611788,0.004593040316408776,0.3819318580874841,-0.16125693666159613,0.018223775201582724,0.10107375372212311,-3076.8488734573402,26,Normal
-0.0006051964191839018,0.0029278376731751666,0.002989731785002928,0.30083619462432565,-0.40085420154598506,0.013766380479371803,0.06541968237178752,-5608.802600169077,27,Normal
-0.0003736288742739935,0.0011543074730624647,0.0012132700763058091,0.15226823349008847,-1.2786667092780741,0.005904109617167718,0.026479305667974372,-18614.80108301352,29,Normal
0.0012908010017653312,0.002626339527499909,0.0029264016368001898,0.44892620349848844,-0.797888891353451,0.01512140496853268,0.06366518971707419,-6670.699853773717,27,Normal
0.000883940365400163,0.004991050780580373,0.005068721580824471,0.9028432433226188,0.6060144724359113,0.02097040264969161,0.11138317397465233,-2732.196018282506,24,Normal
0.00046810755478571785,0.004669489126207418,0.004692893924074652,0.5347313831952968,-0.08589750137160168,0.019507760482531743,0.10310709952406075,-3251.167757710362,27,Normal
-0.000513399479925994,0.005066203729017188,0.005092150748936636,0.7758754732967883,0.243321887563821,0.021501643118521124,0.1118153789429331,-2961.8396780869907,25,Normal
0.00014144716987326956,0.00503452950619461,0.005036516122341841,0.9076510399919294,0.5019370842176429,0.020957619309706636,0.11065272485652605,-2556.2566568246475,21,Normal
0.0011373585115430043,0.005145254013415538,0.005269461381047214,0.975327465734343,0.31467272486063935,0.021545391251350087,0.11584216736145891,-2683.7277580538666,22,Normal
0.0008240648352060094,0.0068831796930230145,0.006932333340158096,0.8012994281989245,-0.11190749213754003,0.02820192429001835,0.1524246510111597,-2171.9487916828425,31,Normal
2.1146792694189952e-05,0.006553336061749719,0.006553370180683414,0.7474682671320467,-0.20515785045931745,0.024827301689913844,0.14441930429597452,-2055.9101132602673,18,Normal
0.0008407274445260944,0.006784347858417208,0.0068362415478089664,0.5012688964886542,-0.6991841255168203,0.027462536146603093,0.15037589021645487,-2000.550756918034,25,Normal
