Channel,Mean,Zero_Crossing_Rate,Range,Energy,RMS,Variance
1,-0.0013884000924269018,14,0.026519793954495295,0.024291392140413134,0.006970135169480307,4.6655129464175233e-05
2,0.003204071384024397,14,0.02163697803652148,0.020699988208693936,0.00643428134428297,3.113390298346386e-05
3,4.9222984222539126e-05,11,0.025909441964748568,0.016938462105058116,0.005820388664867341,3.387450130794046e-05
4,0.021329206141941157,1,0.24731462624537384,2.1848966848134075,0.06610441263355128,0.003914858334981394
5,-1.8831262634220967e-05,8,0.008728033453378197,0.0017596354970193806,0.0018759720131277975,3.518916377586362e-06
6,0.001732451701546063,6,0.01388550776673804,0.008772093865732222,0.004188578247026602,1.4542798833274596e-05
7,0.003782562999906344,8,0.0249328787811538,0.029484259995006982,0.007679096300347714,4.466073714175349e-05
8,0.0017912285981586732,14,0.02389528039858436,0.013186052330562938,0.005135377752524723,2.3163604770264393e-05
9,-0.0002142049345521484,13,0.03070070508426037,0.014223058816996582,0.005333490192546825,2.8400233880006673e-05
10,-0.00010025221806643431,14,0.01632691572572495,0.005468607513282631,0.0033071460546164667,1.0927164519338022e-05
11,0.002718902587374724,12,0.01831055969240181,0.011373422493852856,0.004769365260462414,1.5354413708072746e-05
12,0.0029510194490754036,18,0.023712174801660345,0.020404845898583546,0.006388246378871677,3.210117600834581e-05
13,0.0030061952689485077,16,0.023010270013451614,0.01825788495820147,0.006042827973424607,2.7478559921354555e-05
14,0.0017550957603656666,15,0.024932878781153803,0.01595552161877347,0.005648986036232249,2.8830682109493404e-05
15,0.0014961234111161303,11,0.01925660527650924,0.012651603920952192,0.00503022940251281,2.3064822580614617e-05
16,0.0018906549372884147,12,0.02035523885805335,0.010328322011684179,0.004544958088186112,1.7082067931475298e-05
17,-0.000809359159754182,13,0.026672381951931976,0.014601284038423546,0.005403940051189234,2.85475058273691e-05
18,0.0020362849220419837,23,0.025634783569362538,0.0178326480600937,0.005972042876619977,3.151883983645187e-05
19,0.0007904344405709647,21,0.023712174801660352,0.01303905476216475,0.0051066730387141,2.545332291948877e-05
