Channel,Mean,Zero_Crossing_Rate,Range,Energy,RMS,Variance
1,0.002680877658413502,11,0.09030157688302828,0.17404783365498533,0.018657322083031388,0.00034090856229058997
2,0.0018512872339497503,7,0.10659797500926589,0.4781481753767485,0.030924041630315674,0.0009528690863309117
3,0.003748322253281553,15,0.10339362706309557,0.20876472058867898,0.020433537167542922,0.00040347952146291223
4,-0.014740826431320152,5,0.13140878339247034,0.5007234289811988,0.03164564516584229,0.0007841548940840907
5,0.00011855897025776763,4,0.04577639923100454,0.061434654704415316,0.011084642953601646,0.00012285525317940203
6,-0.0025400732618800007,11,0.07037358441779763,0.13372233843934628,0.01635373586917352,0.00026099270470297483
7,0.0013671560356826467,5,0.10375983825694363,0.35892188256913166,0.026792606538712564,0.0007159746495123598
8,0.00413205054923532,7,0.11639412444470086,0.31225946812583916,0.024990376872942078,0.0006074450945102424
9,0.00490451202745878,11,0.12493905230115503,0.27148923853066415,0.023301898572033318,0.0005189242388338407
10,0.0016343681367937638,11,0.07281499237678454,0.09019937901839029,0.01343126047833116,0.00017772759883021388
11,-0.0016672699165421816,10,0.07626348111885355,0.08717542293494013,0.013204198039634223,0.00017157105689527365
12,0.0030311586653291485,11,0.0998841031220519,0.2814458330113574,0.02372533805918716,0.000553703743168315
13,0.003661102953946747,9,0.10330207426463356,0.34047483960896807,0.026095012535309044,0.0006675460043785386
14,0.003400787830319768,9,0.13140878339247036,0.3209579133534348,0.025336057836744644,0.0006303504688400187
15,0.0035580145028785244,9,0.10720832699901262,0.19260823404946278,0.0196269322131332,0.00037255700089623163
16,-6.570629544676953e-05,9,0.08999640088815491,0.17700505483127027,0.018815156381559537,0.00035400579234527924
17,0.0016309501656511815,9,0.09698493117075493,0.2446418342607226,0.022119757424561536,0.0004866236700786075
18,0.0017243950552814065,9,0.11563118445751744,0.259522841265903,0.02278257409802075,0.0005160721442251272
19,0.0004861129384832463,11,0.09957892712717853,0.23215103623211109,0.021547669768775975,0.00046406576667526136
